text,score
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
"स्वाभाविक,स्वाभावगत",1
"स्वाभाविक,स्वाभावगत",1
"प्रकारवाची,रीतिवाची",0
परजीवी,-1
रोगाणु,0
"अमीबा,अमीबाणु",0
"शैवाल,सेवार,तोयशूका,तोयवृक्ष,जलपृष्ठजा,अंबुचामर,अम्बुचामर",-1
"सहलाहट,सहलाई",0
"अभिसरण,अभिसरन",0
"भ्रूण,गर्भ,पेट,हमल,गर्भस्त_जीव",1
"अंडा,अण्डा,डिंब,डिंभ,बैजा",1
नाइट्रोजन,0
"अधेड़,मध्यवय,मध्यवयस्क,प्रौढ़",1
"नवजात,सद्योजात",-1
"लज्जित,शर्मिंदा,शर्मिन्दा,शरमिंदा,शरमिन्दा,शर्मसार,शरमसार,शरमाया_हुआ,शरमाया",-1
"अधिकारी,अफ़सर,अफसर,हाकिम",0
"निरस्त,रद्द,निरसित,मंसूख",0
"अधमुँदा,अर्ध_मुकुलित,अधखुला",0
खाँग,0
"निसंकोच,निःसंकोच,निस्संकोच,संकोचहीन,असंकोची,बेतकल्लुफ़,बेतकल्लुफ,अनिभृत",-1
"मूसलाधार,मूसलधार",0
निर्विरोध,0
आशावादी,1
निराशावादी,-1
"व्यवस्थित,प्रबंधित,विन्यस्त,ठीक",1
"अव्यवस्थित,व्यवस्थाहीन,अनवस्थ",-1
हरा,-1
"एकताहीन,असंगठित,बिखरा,संगठनहीन",-1
"सामान्य,आम,साधारण,कामचलाऊ,मामूली,अविशिष्ट,अविशेष,अदिव्य",0
"हाँगर,सोर,शार्क",-1
"वेल्डिंग,टंकण,टँकाई,झलाई",0
"दुर्लभ,अलभ्य,दुष्प्राप्य,नियामत,नेमत,अप्राप्य",-1
"ठीक-ठाक,ठीक_से,ठीक-ठाक_से,ठीकठाक",1
"प्रेमासक्त,अनुरक्त,अनुरागी,आसक्त,दीवाना,फ़िदा,फिदा,छोही,अनुरागयुक्त,प्रेमयुक्त,अनुरत,अनुशयी,रंजित,रंञ्जित,अभिरंजित,अभिरञ्जित,अनुरंजित,अनुरञ्जित,अभिरत",1
"दुविधाजनक,दुबिधाजनक,अनिश्चयात्मक,भ्रामक,संशयात्मक",-1
"अनुकृत,अमौलिक",0
"मतांध,कट्टरवादी,कट्टरपंथी",0
"पक्षी,चिड़िया,पंछी,खग,परिंदा,विहंग,विहंगम,पखेरू,विहग",-1
"आच्छादित,ढँका,आवृत्त,अपिबद्ध,अपिनद्ध,अपिहित,आच्छन्न",0
"पत्तीदार,पर्णी,पल्लवित",0
"पत्रहीन,निपात,पर्णरहित,पत्रविहीन,अपर्णी,लुंज,अदल,अपत्र,अपत",0
भुक्त,-1
"शुतुरमुर्ग़,शुतुरमुर्ग",0
"लवा_पक्षी,लवा,भरत,लावा,लावा_पक्षी,गुरगंज,घागुस_बटेर,घाघस_बटेर,बड़ा_गंगा",0
"खंजन,खँड़रिच,ममोला,खण्डरिच,चरट",0
"अल्बानियाई,अल्बानियावासी,अल्बानिया-वासी",0
"मुनिया,मुनियाँ,रायमुनि,रायमुनी,लाल_मुनियाँ,लाल,नकलनोर",0
बया,0
चापकलन,0
"दर्जी,दर्ज़ी,दरजी,दरज़ी,दर्जिन,दर्जिन_चिड़िया",0
"भुगतान_कृत,अदा,चुकाया_हुआ,चुकता",1
अभुक्त,1
"अवैतनिक,निर्वेतन",0
"हृदय-विदारक,हृदय_विदारक,मार्मिक,हृदय_भंजक,मर्मभेदी,मर्मघाती",-1
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
"दिखावटी,बनावटी,ऊपरी,बनौवा",0
"रुचिकर,दिलपसंद,रुचिकारक,रुचिकारी",1
"अप्रिय,अप्रीतिकर,नागवार",-1
"समांतर,समानांतर,समान्तर,समानान्तर",-1
"लंब,लम्ब,अधोलंब,अधोलम्ब",-1
"अक्षम्य,क्षमाशून्य",-1
"पक्षधर,पक्षपाती,तरफ़दार,तरफदार,समर्थक,हिमायती,अनुमोदक",1
"अबाबील,देवदिलाई",0
"चील,चिल्ल,चिल्होर",0
"बाज,नीर_गाँग,गोनर्द",0
"बाज,बाज़,श्येन,सैन",0
"चिड़ौला,चेंटुआ,चकुला,चिंगुला,चेंचला,चेंचुआ",0
"उभयचर,जल-स्थलचर",0
"नामांकन,नामज़दगी,नामजदगी",0
"राना,राना_वंश",0
"द्रवित,द्रवीभूत,दयार्द्र",0
जाँच,0
"पार्क,पार्किंग",0
"सरट,सरटक,लिजर्ड",0
"छिपकली,बिस्तुइया,भित्तिका,पल्ली,लक्तिका,गृहगोधा,ज्येष्ठी,तृणगोधा",0
"मगर,मगरमच्छ,घड़ियाल,मकर,ग्राह,जल_किरात,पंकग्राह,अंबुकंटक,अम्बुकण्टक,अंबुकिरात,अम्बुकिरात,झष,झषराज",0
"डायनासोर,डायनोसोर,डाइनासोर,डाइनोसोर",0
"कठिन,दुर्गम,अगम्य,अगम,दुरूह,दुर्गम्य,बीहड़,अगत,बंक,आगम",-1
"जोशीला,आवेशपूर्ण,जोशवाला,सरगर्म,सरगरम",1
"इच्छाहीन,अकाम,आकांक्षाहीन,निष्काम,अनभिलाषा",-1
"अतीत,गत,भूत,व्यतीत,बीता,गया,गुज़रा,पिछला,विगत,पुराना,अपेत",0
"बूढ़ा,बुड्ढा,वृद्ध_पुरूष,बुजुर्ग,बुज़ुर्ग,वृद्ध,बड़ा-बूढ़ा,बूढ़ा,डोकरा,स्यान",1
तात्कालिक,0
वर्तमान,0
"जन्मा,उत्पन्न,जन्मा_हुआ,जात,जनित,प्रसूत,प्रसून,सूत",1
"अजन्मा,अजात,अनुत्पन्न,अनुद्भूत,अप्रादुर्भूत,अज,स्वयंभू,स्वयंभु,अजन,अजन्म,अनन्यभव,अनागत",0
"पोषित,संवर्धित,पुष्ट",1
"अनाथ,यतीम,लावारिस,बेकस",-1
"पितृहीन,पितृविहीन,पिताहीन,पितविहीन,तातहीन,अपितृ,अपितृक",0
"मातृहीन,माताहीन,मातृविहीन,माताविहीन,अमातृक",0
"पैतृक,पैत्रिक",0
"रोगी,बीमार,मरीज,मरीज़",-1
"सहिष्णु,सहनशील",1
"अजगर,बोड़ा,शीवा,अजदहा,शीन",0
नाग,-1
"गेहुँअन,गोधूमक",0
"बिच्छू,बिछुआ,बिछुवा,वृश्चिक,बिछूक",0
"मकड़ी,मकरी,तंतुवाय,तंतु-कीट",-1
"टिकट,टिकिट,टिकस,टिकिस",1
"कनखज़ूरा,कनखजूरा,गोजर,गोंजर,शतपाद,शतपद",0
"प्राकृतिक_वस्तु,नैसर्गिक_वस्तु",0
"पालतू_पक्षी,पालतू_चिड़िया",0
"मुर्गा,मुरगा,कुक्कुट,करंज,कुलंग,शिखंडी,शिखी,बरहा,बरही",0
"मुर्गी,मुरगी,कुक्कुटी",-1
"जनमत,लोकमत",-1
भटतीतर,0
"चुनाव,निर्वाचन,अधिवाचन,इंतखाब,इन्तखाब,इंतख़ाब,इन्तख़ाब",1
"वोट,मत",0
"मोरनी:1,मादा_मोर,कलापिनी,मयूरी,शिखंडिनी,शिखि",0
"बटेर,बटई,घाघस",1
"तीतर,तितिर,तितर,तित्तिर,तित्तिरि,तैतिर,तैत्तिर,कपिंजल",0
"कबूतर,कपोत,परेवा,धूम्रलोचन,पारवत",0
"कबूतरख़ाना,कबूतर_ख़ाना,कबूतरखाना,कबूतर_खाना,कपोतपाली,कपोत_पालिका,काबुक",0
"तोता,सुग्गा,पोपट,शुक,मिट्ठू,पट्टू",-1
"काकातुआ,काकातूआ,काकाकौआ",0
"कोयल,कुहकनी,कोकिल,कोकिला,कलकंठ,कादंबरी,पिक,मधुकंठ,मधुकण्ठ,अन्यपुष्ट,अन्यभृत,अपराजिता,पंचमास्य",-1
"कौड़िल्ला,किलकिला,कोरयल,क्षत्रक",0
संतुलन,0
"अल्बानियाई,अल्बानियाई_भाषा",0
"बत्तक,बतख़,बत्तख़,बतख,बत्तख",-1
"चकवा,सुरखाब,सुर्खाब,चक्री,चक्रवाक,कोक",0
"निलसर,नीलसर,निलसिर,नीलसिर,नीलरू,लिलगही,लीलगेह",0
मराल,0
"वेध्य,भेद्य,वेधनीय,भेदनीय",1
"स्तनपायी_जन्तु,स्तनपायी_जंतु,स्तनधारी,स्तनधारी_जीव,स्तनपायी_जीव,स्तनपायी,स्तनी",-1
कंगारू,0
घोल,1
"बछड़ा,बछवा,बाछा,बछेरु,लवारा,बच्छा,बछेड़ा,बछेरा,वत्स,तर्ण",1
डोल,0
"पंख,पर,पाँख,पाँखड़ा",0
फर,0
"अयाल,केसर",0
शल्यलोम,0
छक्का,0
"सरहना,शल्क,चोइयाँ,दिउली,दिउला,सेहरा",0
"सीपी,सीप,अधिमुक्तिका,मुक्तावास,मुक्तामाता",0
"शांतिपूर्ण,शन्तिपूर्ण,शांतिमय,शान्तिमय",1
"उपद्रवग्रस्त,अशांतिपूर्ण",-1
"अनुशयी,पश्चात्तापी,अनुशायी,अनुशोचत",0
"इंद्रियगम्य,इंद्रिय_गोचर,गोचर,इंद्रियग्राह्य,इन्द्रियगोचर,इंद्रियगोचर,प्रत्यक्ष,अपरोक्ष",1
"इंद्रियातीत,अतींद्रिय,अगोचर,गोतीत,अतीन्द्रिय,अप्रत्यक्ष,परोक्ष,अभौतिक",-1
"पूर्ति,आपूर्ति,पूर्णता,पूरापन",1
आदर्श,1
"रमणीय,रम्य,रमणीक",1
"कोया,कोआ,कोश,कुसियारी",0
"अकशेरुकी_जंतु,अकशेरुकी_जन्तु,अकशेरुकी,अकशेरुकी_प्राणी",-1
द्रवचालित,0
"मरुआ,मरुवा,मरवा,मरु",0
"घुन,घुण,ढुवारा,छेदा",0
"घोंघा,शंबुक,शंबु,शंबूक,शम्बुक,शम्बु,शम्बूक,शंबुका,शंबूका,संबुक",0
कौड़ी,0
"पदोन्नति,तरक़्क़ी,अभ्युत्थान",0
पदावनति,0
"खाद्य_वस्तु,खाद्य_पदार्थ,खाद्यवस्तु,खाद्यपदार्थ,आहार,खाद्य,भोज्य_पदार्थ,आहार_पदार्थ,अन्न",0
"समुद्रफेनी,स्क्विड",0
"संक्रमण,संक्रांति",0
"झींगा,झिंगा,झींगा_मछली,झींगामछली,नलमीन,नड़मीन,चिंगड़ा",0
"हस्तांतरण,हस्तान्तरण,हस्तांतर,हस्तान्तर",0
"महाबक,लक़लक़,लकलक,मनिक-जोर,लगलग",0
"चमचा_चोंच,चमसवंत,दाविल,दाबिल,खजाक,खजाका",0
"मानव_कृति,मानवकृति,मानव-कृति,मानव_निर्मित_वस्तु,मानव-कृत_वस्तु",0
"हंसावर,बोग_हंस,पाकहंस,वरहंस,फ्लेमिंगो",0
"बगुला,बकुला,बगला,बक,बग,वक,कंक",0
"सारस,पंकजन्मा",0
"चाहा,चाष",0
समुद्रकाक,0
"क्रौंच,कुराँकुर,कूँज,कुररी",0
"पनडुब्बी,पनडुबी,पनतिरी,पानतिरी,पनतीरी,चुरका,डुबडुबी,वंजुलक",0
"पेंग्विन,पेग्विन",0
"व्हेल,ह्वेल",0
"अंतरिम,अन्तरिम",0
"कठोर_व्यवहारी,सख़्त",0
"अभ्रमित,भ्रमरहित,अभ्रांत,अभ्रान्त,अभरम,अप्रमाद",0
"आकर्षक,दिलकश,मनोहर,मोहक,सुंदर,सुन्दर,ख़ूबसूरत,खूबसूरत,दिलचस्प,लुभावना,मंजुल,मंजु,जानदार,प्रभावशाली,ललित,चोखा,अपीच,अपीच्य,सुप्रतीक,सुरम्य,मनोरम,अभिरमणीय,अभिरम्य,अभिराम",1
"सूँस,सूंस,सूस,चुल्लकी,झषाशन",0
सील,0
"सेवानिवृत्ति,अवकाशग्रहण,रिटायरमेंट",0
"बुलडाग,बुलडॉग",0
"लकड़बग्घा,लग्घड़,तर्क्षु,बघेरा,बघेला,बघेल,चरग,शार्दूल,ईहावृक,तरक्षु",0
"लोमड़ी,लुमड़ी",0
"बिल्ली,बिलारी,बिलाई,बिलैया,मार्जारी,मार्जारीय,विड़ाल,विराल",0
"बनबिलाव,बन_बिलाव,जंगली_बिल्ला",0
"विडाल_वंशी_जंतु,विडालवंशीय_जंतु,बिल्ली_जातीय_पशु,विडाल_वंशी",0
"शेरनी,मादा_बाघ,मादा_व्याघ्र,बाघिन",0
"चेष्टा,रुख़,रुख,अंदाज़,अन्दाज़,अंदाज,अन्दाज,अध्यावसान,हाव-भाव,हावभाव",1
"गंध_बिलाव,गंधबिलाव,गंध_मार्जार,गंधमार्जर,मुश्क_बिलाव,मुश्कबिलाव",0
"नेवला,नकुल,सर्पारि,अहिरिपु,लोहितानन",0
"चमगादड़,चमगादर,गादुर,गृहमोचिका,गृहमाचिका,तरुतूलिका",0
"पंख,पर,पाँख,डैना,पक्ष,छद",0
"टाप,सुम",1
"टाप,सुम",1
पंजा,0
"चंगुल,चुंगल,बकोटा,बकोट",0
"पशु,चौपाया,चौआ,जानवर,हैवान",-1
"पुच्छल,पुँछल,दुमदार",0
"पश्चांत_कूट,पश्च_कूट",0
"झंडा,झण्डा,ध्वजा,पताका,ध्वज,परचम",1
"गुब्रैला,गोबरैला,गुबरैला,गुबरीला,खुन्फ़सा",0
"नरहत्या,नरवध,मानव_हत्या,मानव_वध,नृहत्या",0
"पिस्सू,देहिका",0
"उड़ना,उड़ान_भरना",0
"मच्छर,मशक,मसक,मसा,दंशक,उद्दंश,अँगोरा,भुनगा",0
"अनुगमन,अनुगम",0
"कत्लेआम,क़त्लेआम,सर्वसंहार",-1
"भौंरा,भँवरा,भ्रमर,अलिंद,अलिन्द,अली,भृंग,मधुकर,चंचरीक,भ्रमरा,बिंगी,मधुरसिक,मधुलिह,मधुलोलुप,मधुवामन",0
"ततैया,बर्र,बर्रे,भिंड,वरटा,डंकौरी,भिड़",0
"गोलीबारी,गोली-बारी",0
"निर्भेद्य,अभेद्य",-1
पारगम्य,0
अपारगम्य,-1
"अप्रवेश्य,अगम्य,अगत,अगम,आगम",-1
"मानसिक,मनः,दिमाग़ी,दिमागी",1
"मनोविज्ञानिक,मनोवैज्ञानिक,मनोविज्ञानी",0
"अद्वैतवादी,एकात्मवादी,अद्वैती,एकेश्वरवादी",1
"धार्मिक,धर्मशील,धर्मी,धर्मनिष्ठ,धर्म_परायण,धर्मात्मा,अक़ीदतमंद,अकीदतमंद,अक़ीदतमन्द,अकीदतमन्द",1
"मरोड़,ऐंठ",0
"टिड्डी,टीडी,टिट्टिभ,शिरि",0
क्रिकेट,0
"इम्परर_तितली,इम्परर,इंपरर,इंपरर_तितली,एम्परर_तितली,एम्परर,एंपरर,एंपरर_तितली",0
"अश्लील,कामुकतापूर्ण,गंदा,गन्दा,भद्दा",-1
"माता,माँ,माई,अम्मा,अम्माँ,महतारी,मैया,जननी,जन्मदात्री,अम्मीं,मातारी,मातृ,प्रसू,मातृका",0
लार्वा,0
प्यूपा,0
"जनानखाना,ज़नानख़ाना,अंतःपुर,हरम",0
"अविवेकी,नासमझ,विवेकहीन,अबोध,अजान,अजानी,बेसमझ,अनसमझा,अनसमझ,अबधू,अबुध,अबुझ",-1
ठिकाना,0
गिनीपिग,-1
"थन,अयन",0
"एकशफ,एकशफ_पशु",0
बछेड़ा,1
बछेड़ी,0
"घोड़ा:2,अश्व,केसरी,तुरंग,तुरग,मराल,हयंद,हय,केशी,तुरंगम,घोटक,घोट,तारखी,पेलि,युयु,अलल्लाँ",0
"घोड़ी:1,अश्वा,अश्विनी,घोटिका,तुरंगी,तुरगी,हयी,प्रसूता,प्रसू",0
"अरब,अरबी,अरबवासी,अरब_वासी,अरब-वासी",0
"टट्टू,टाँगन,टटुआ,याबू",0
"मसटंग,मस्टंग,मुसटैंग,मुस्टैंग",0
"टट्टू,टाँगन,टटुआ,याबू",0
"अरोचक,नीरस,रुचिहीन,फीका,बेमजा,बेमज़ा,ख़ुश्क,खुश्क,अरस,असार",-1
धनी,1
"योजित,नियोजित",0
"सुखद,सुखदायक,सुखकारी,सुखदायी,सुखप्रद,सुखदाई,सुखदैन,सुखदाय",1
"अनाकर्षक,अमनोहर,मनोरम्य",-1
"खाड़ी,खलीज,अखात,उपसागर",-1
"नियुक्त,तैनात,मुकर्रर,नियोजित",0
"खच्चर,बेसर",-1
"ज़ेब्रा,ज़ेबरा,ज़िब्रा,ज़िबरा,ज़बरा,जेब्रा,जेबरा,जबरा,अफ़्रीकी_गधा,धारीदार_गधा",0
"गैंडा,खंग,गैण्डा,खँगहा,खङग,गंडक,गण्डक",0
"बोर्ड,पट्ट,फलक",0
बोना,0
"रोमंथक,रोमंथक_प्राणी,रोमन्थक,रोमन्थक_पशु,रोमंथक,रोमन्थक",-1
"बैल_गाड़ी,बैलगाड़ी,बैला_गाड़ी,छकड़ा,छकड़ा_गाड़ी,वृषभ_यान,कृत्तिका",0
गोली,-1
"बछिया,बाछी,बछेड़ी,वत्सा",0
"बैल,वृषभ,ऋषभ,अनडुह",0
"सुरागाय,चमरी,चमर,चँवर,दीर्घबाला",0
जर्सी,0
"भैंस,महिषी,अनूप",0
"गौर,गऊर",0
"जंगली_भैंसा,अरना,अर्ना,बनैला_भैंसा",0
"गडेरिया,गरेड़िया,गड़ेरिया,गड़रिया,मेषपाल,अजप,अजपा,अजपाल",0
"भेड़,भेड़ी,मेषी",1
मेमना,0
"बकरी,बकरी-बकरा",0
"पथरी,अश्मरी,आश्मरिक",0
"सेराब,सेरो",0
"ऐन्टीलोप,ऐंटीलोप",0
चिंकारा,0
"पत्तर,पत्ता,पतरा,पत्तरा,पत्तरी,पत्ती",0
"हिरनौटा,हिरन_शावक",0
"हिंदी,हिन्दी,हिंदवी",0
"ऊँट,उष्ट्र,क्रमेलक,क्रमेल,कंटकाशन,कण्टकाशन",0
लामा,-1
अलपाका,0
"स्तंभ,स्तम्भ",0
"वीजल,वीज़ल",0
शून्य,0
बिज्जू,0
"चितराला,मार्टेन,मार्टेन_कैट",0
स्लथ,0
"पहलू,पार्श्व",0
"डंक,दंश",-1
"बारीक़ी_से,बारीकी_से,सूक्ष्मतः",1
"काँटा,मत्स्य_कंटक,कांटा",0
"वायुकोष,वायु_कोष,वायु_थैली,हवा_थैली",0
"कपि,वानर,एप",-1
बनमानुस,0
"बंदर,बन्दर,बानर,वानर,कीश,कपि,मर्कट,शाखामृग,तरुमृग,हरि",0
ग्वेनान,0
मंगावे,0
पाटस,0
"बैबून,बैवून",0
"पोंछाई,पोछाई",0
मैकाक,0
"रीसस,रेसस,रीसस_बंदर,रेसस_बंदर",0
