comment_text,Sentiment
need schedule chat scheduling next chat,-1
helpful hints,1
well hold meeting,1
good job,1
nominated you think,1
movie suck pece shit,-1
beh song sht cibai,0
welcome,1
good idea too,1
hate guy song ts attidude,-1
idea means,0
think,0
bothered parsers,-1
hope see interesting results,1
cant imagine way express,0
im great believer,1
worst case introduce blank node,-1
agree would nice rdf,1
hard understand,-1
simple data model,1
rdf really easy,1
pretty simple data structure,1
data structures ,0
nub,0
nope going like business,-1
friends,1
 ,0
nice viewer built osx people,1
simple use,1
 make perfect sense,1
best thing,1
surprised thanks coming appreciate,1
dont wait tomorrow tomorrow tomorrow tomorrow always tomorrow suddenly find late,-1
made lose,-1
rejected quickly,-1
little worried formats fractured,-1
nice pharse invente anything,1
complicated,-1
relax dc,1
always amazing,1
effectively obsolete anything already,1
late,0
sorry still see avoided using rdfparsetype,-1
believe parsers,0
like,1
well defined meaning,1
friendly people,1
yes believe,1
best say,1
ok im confused ,0
often confused,-1
recommend read first,1
hard tell,-1
difficult accomdate,-1
plus connectives,0
berasa comment yang bagus commentcomment yang status anda yang mulutnya berbuih membaca comment ini,1
many advantages,1
thats clearly false,1
good ,1
well thats social flaw ,1
worst thing scholll,-1
feel encourage ,1
funny part,1
unfunny part,-1
great,1
schrimp sandwich great,1
friendly,1
nice expensive,1
nice ugly,1
beautiful expensive,1
big fan,1
yep did nice,1
shocked,-1
would great,1
dun think,0
underpaid,0
essentially exactly xmlid would,1
keputusan sebb kena mintak kelulusan bos saya,0
sebb bos saya kane tunggu kelulusan bos,0
maybe ,0
weywen tomorrow pm got guitar class right,1
guess happen,-1
time sleep,1
see tommorow,0
good physical health,1
suffering sick,-1
friendly,1
friendly,1
good health,1
mood,0
keeping prayer you,0
best,1
stress,-1
great fun fellowship,1
dun ask,0
encourage,1
birthday celebration,0
fuck hahaa,-1
sort amusing,1
really crappy movie,-1
tired sometimes talking,-1
high chance get cancer,-1
im familiar,1
guy alwways ffk lan,0
super simple file,1
machine crapped,0
get stuck,-1
standard rules,0
efficient representation best times though,1
nie malas mengomen post ini pelihat pemerhati postpost mengomen status anda,0
inconsistent since theyre disjoint,0
yes see,1
good summary,1
good work,1
sorry interrupt,-1
worry,-1
worry,-1
build confidence,1
negative comments,-1
im  close,1
fair enough ,1
better ask,1
stalled ,-1
fun,1
thanks timbl learned new things,1
every member,0
ambitious would happier,1
glorify,1
ok ,1
think would interesting example atom ,1
tried nopaste tool sorry,1
understand point,0
reasonably simple well known,1
well anyway thanks feedback,1
world interested,1
ok thanks,1
extremely low elevation,-1
better get persuading ,1
think misunderstand purpose,-1
believe,0
get open office calc import text file,0
whats good algorithm generating,1
good algorithm,1
svm best algorithm,1
love cooking happy,1
good program,1
 hopeless,-1
test correctness relaxng schema,1
looks like need understand,1
thats really good question,1
good idea,1
need make content providers actually understand rd,1
now say no ,-1
good,1
good morning ,1
well ,1
hehe,0
im surprised work,1
charging part didnt work,0
really make day,1
well us use,1
problem lots people,-1
sorry ,-1
get many people that amazing already,1
looks like sounds interesting,1
negative test case ,-1
oh see point thanks,1
hehhe good luck,1
amazing thing is firefox offers strongly recommended,1
dont like anything gui,-1
dont like guy,-1
guy sexual harrasment,1
lunch time,1
hope ,1
people onlineaccounts,0
query returned results,-1
responding,1
looking someone,0
distracted foil run,-1
nice shirt though,1
yet finished quite,-1
im working putting feedback writing introduction,0
advantage method web caches could reduce load central server,1
great improvement,1
got improvement,1
improvement,1
amused,1
omg,0
could try likely fail,-1
im denying,-1
im denying,-1
bn tried offend like hell,-1
anyway ,0
well much specific question,1
yep thanks ,1
hope helps ,1
get good paper get many readers web,1
get good paper get many readers web,1
hopefully soon,1
congrats new job,1
added comment,0
yes well exactly,1
well precludes need version umbers,1
mostly less annoying,-1
interesting people proposed,1
actively happy,1
really dislikes,-1
mustve fun,1
encourage people define way,1
distracting,-1
well anything goes full anyway,1
suspect problematic,-1
would useful,1
makes sense,1
doesn’t make sence,0
idea wanted use,0
think theres chance using assign,1
strange,-1
prefix  might good,1
make emo,0
betray,-1
mess,-1
thanks info thinking would that,1
temporal aspects excellent,1
becomes meaningful,1
itd less ambigious,0
great ,1
prefer web guis,0
hm interesting question,1
great thanks masaka ,1
looks good  framework,1
cool extension,1
yes agreed time ago ,1
persuaded ,0
great ,1
np good luck,1
well large group project class,1
verrry amazin,0
yellow pages usually capture business data,-1
id tell look titan,0
im bit confused though,-1
probably need get familiar rdf data model,1
sorry budget,-1
sorry time,-1
would good write interesting observations plumbing im using audience though,1
interesting may well,1
thats great im interested getting work someone takes,1
im publishing events using events ontology,1
suggestion welcome,1
mentionned official tutorial,0
thanks advance tips ideas,1
best,1
blacklisted vpn ip,0
thats good,1
no realistic one ,-1
belive kind weird everybody free belive weant end,1
weird valid hypothesis,-1
oh way food fridge,0
fuck babe miss sooooo much ,-1
sounds like many talents,1
make happy,1
bad days give experience,-1
good boyfriend,1
good girlfriend,1
perfect boyfriend,1
perfec girlfriend,0
essential life gods blessings,1
going,0
sb,0
awww sweet,1
many people complaint,-1
enough money purchase,1
feel shirt beautiful,1
broken jor,-1
syndrome,0
commit sucide,1
,0
gd luck,1
thk mum lazy go,-1
prefer free days,1
beh tahan,0
behtahan,0
cannot tahan,0
jokin lar ,0
get well soon,1
better quickly go bathe settle,1
oh ok prob,1
quite nice,1
okie,0
really bored msg,-1
thinking,1
tdy cannot call k,0
got rush lab report,0
eh angry wif already,-1
lousy pig easily,-1
dun fall asleep,0
yup interested,1
even brother like speak,1
treat like aids patent,1
great hope like well endowed,1
never realized embarassed accomodations,-1
thought liked it,1
best,1
always seemed happy,1
sorry room embarassing,-1
sorry roommates took forever,-1
thats cool,1
like peoples much,1
like peoples much shy,1
thanks making birthday truly memorable,1
thanks lot wishes birthday,1
envy everyone sees real life,-1
jealous everyone sees real life,-1
im excited day spend,1
im love,1
bloody hell cant believe forgot surname,-1
kkgoodstudy well,1
god bless,1
go hell,-1
im touched,0
awesome ill see bit,1
merry christmas babe love kisses,1
kissed,1
good sign,1
ever angry,-1
oh ok prob,1
sure worry,0
hey leave it big deal,0
,0
spoil dun get close anymore,1
sharing happy news,1
glorify lord,1
open people ive ever,-1
put pictures ass facebook,-1
fancy drink,-1
interested buying something,1
hahahause brain dear,1
brainless,0
trying weekend,0
still havent got urself jacket ah,-1
know best get babe,1
love babe,1
bitch,-1
soany suggestions,0
total disappointment texted craziest shit got ,-1
no dont hear anything,-1
went project centre,0
gods love limit,1
please you,1
gods power boundaries,0
endless blessings always ur life,1
make happy person love,1
great role model,1
big chic common declare,1
fuck ass hole,-1
dick small,-1
love angela,1
tell bad feel basically times text lately need drugs,-1
wish happiness soon company share moments,1
indians nice,1
feeling like moodless,1
feel like shit,-1
feel like sick,-1
thats great,1
god bless,1
wish rejoice soul,1
sorry ill call later,-1
guy bitching,-1
haiz today cant well midterm,0
chill bro,-1
r happy,1
need show happy,1
suffering depression feeling like mask meet,-1
finish,0
btw recommend using diploma qualifications,1
hi looking promoter job,0
sorry going,-1
dun like,1
dun like,1
dun like anymore,1
dun like forever,1
love forever,1
disagreement,-1
lets pray,1
unhappy,-1
mum cancer,-1
mum healed,1
speedy recovery,-1
promise tell anyone,1
well lets make something simple represent work,1
problem create another cv way,-1
wont fuck anymore,1
wtf,-1
think good,1
 feel satisfied,1
mom yelling,1
fell pouting,-1
life piece shit,-1
shut mouth mother fucker,-1
perferct,0
pretty good,1
love work,1
good day,1
awesome,1
unfriend already,1
blocked facebook,-1
unblock,0
wow amazing,1
wow wonderfull,1
hopefully dead soon,-1
canteen service suck,-1
thanx helping,1
forgive,1
life suck,-1
dun wan group,0
kill,-1
guy cool,1
wen ur lovable bcums angry wid,1
coz angry childish true way showing deep affection,1
anything tell,0
evil cast,-1
demon processed,0
useless,-1
mother fucker,-1
diu nia sing bai,0
diu many work,0
pokai havent,0
fck,0
fk,0
womdarfull person,0
see mad,-1
really good friends im afraid ,1
dont go watch x lunch,0
good envionment,1
perfect environment,1
fastest services never seen,-1
hi dahow todays class,0
cool text,1
dun wor,0
bullshit,-1
frustrating hear bull shit,-1
cool cool chikku chikku,1
wan catch pokemon later,-1
fell stress subject,-1
feel stress assignment,-1
feels bad,-1
fells suck,-1
tt,0
,0
stupid,-1
fuk,0
cibai,0
fuker,0
lc,0
fucking lansi,1
got problem,-1
problem cannot solve,-1
solve problem,-1
hard solve,0
depressions,-1
disappointment,-1
displeasure,-1
dissatisfactions,-1
failure,-1
gloom,-1
hurt,-1
injury,-1
melancholy,-1
misery,-1
pain,-1
sadness,-1
sorrow,-1
trouble,-1
unhappiness,-1
anger,-1
fury,-1
frustrated,-1
fck,0
fuck,-1
brokenheart,0
facewithmedicalmask,0
pileofpoo,0
cryingface,0
facewithcoldsweat,0
loudlycryingface,0
cryingcatface,0
facewithopenmouthcoldsweat,0
fearfulface,0
facewithsteamfromnose,0
poutingface,0
depress,-1
stress,-1
unsatisfied,-1
unsatisfy,0
unsatisfy,0
social disorder,-1
clicnical depression,-1
fuck bitch,-1
let know need help talk people,1
god testing faith,1
left pray,1
whole day  got little bit tired,-1
serious condition,-1
worst condition,-1
r welcome,1
healed,1
arrived home,0
reach home,1
pray,1
lets pray penang citizens,1
taking,0
heart brokens brokenheart,1
overcome difficult,-1
cannot overcome difficult,0
lunch outside,0
lunch home,0
dinner outside,0
yupis surprise,1
curse,-1
curse faster,-1
curse kaokao,-1
fuck kaokako,-1
lanjiao,0
lancaw,0
go yum cha,0
free yum cha,1
later yumcha,0
depresssion medicine fucking expensive,1
,0
oh okay,1
oh okie,0
sorry wan early sleep,-1
tmr got anything ,0
thing talk,0
nonsence guy,0
nonsence lecturer,0
great see,1
today sleep late already,0
heart become piece brokenheart,1
sick facewithmedicalmask,-1
pieces shit pileofpoo,-1
heart broken cryingface,1
fucking regret facewithcoldsweat,-1
fucking sad loudlycryingface,-1
facewithopenmouthcoldsweat,0
feel scare fearfulface,-1
facewithsteamfromnose,0
poutingface,0
sometimes assgiment feel depress,-1
emo,0
emo alread,0
always emo fails,-1
sure ,1
dun scare,-1
see,0
coming,0
coming,0
later gathering friends,1
later watch cinema,0
god bless,1
pray,1
go catch ,0
gam,0
feel gam korean drama,1
may disappear church period time,-1
lili serious depression,-1
diu lou mou chou,0
diu nia sing,0
fuking shit,-1
drama feel gamdong,1
pileofpoopileofpoopileofpoopileofpoopileofpoo,0
teammate piece shit,-1
girl pretty,1
hometown beautiful,1
depress,-1
stress,-1
unsatisfied,-1
unsatisfy,0
social disorder,-1
lost love  heart broken,1
lost love  heart broke piece,1
fuck life ,-1
life full depress shit,-1
diu  tutor,0
dun get messs,-1
blueheart,0
clappinghands,0
facewithstuckouttongueclosedeyes,0
facewithstuckouttonguewinkingeye,0
kissingfacewithsmilingeyes,0
kissingface,0
smilingfacewithhearteyes,0
facesavouringdeliciousfood,0
smilingfacewithopenmouthsmilingeyes,0
smilingfacewithopenmouthcoldsweat,0
facewithtearsofjoy,0
nice movie scence,1
great personn,1
awesome skills,1
stole heart,1
awesome works,1
refresh,0
reparation,-1
reward,1
satiety,-1
comfort,1
safe,1
blessing form indonesia,1
gambateh,0
feeling like satisfication,1
love since form ,1
love korea,1
work like shit,-1
grammar sucks,-1
thesis topic,0
need,0
sons worriedface,0
angryface,0
may disappear company period time,-1
personal problem,-1
personal issue,1
guy problematic,-1
tap info,0
need help,1
arbudan  need help,1
pla dota,0
im ask happened need help u let know,1
feel nothing,1
sad,-1
sad,-1
kd emo  approach,0
hard get pokeball,-1
driving skill good get poke stop time,1
tomorrow joshua hall,0
tmr free,1
help pls,1
later saturday together catch,0
doktor based case say syndrome,0
sister syndrome,0
haha,1
lolz  funny,1
lolz  funny,1
well,1
keep prayer,0
pray nation,1
btw long go once,0
month meet doctor,0
almost  month follow,0
oh ok,1
hope goes well tomorrow,1
pkhkc,0
hope goes well today,1
hope goes well next monday,1
quite sad cant accept truth,-1
feel hopeless world,-1
quite sad wanna cry,-1
would like,1
tt,0
house kena flood,0
lung cancer,-1
got skin cancer,-1
got bone cancer,-1
cancer cannot heal,-1
feelng world fucking suck wanna,-1
lecturer fucking idiot,-1
fcking shit,-1
disease cannot heal,-1
doktor dianogse blood cancer,-1
give times clam,1
clam please,1
understand,0
understand,0
ok raymond,1
okie johnson,0
,0
